Batch #,Order Begins,Order Completed,Customer Arrives,Order Begins Time,Customer Wait Time,Order Completed Time,Order Time,Total Entity Cycle Time,Inter Arrival Time
2,1,1,1:01:38 PM,1:03:13 PM,01:35,1:05:11 PM,01:58,03:33,00:36
1,1,1,1:01:51 PM,1:03:21 PM,01:30,1:05:04 PM,01:43,03:13,00:13
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
,,,,,#VALUE!,,#VALUE!,#VALUE!,#VALUE!
